Ticker,Side,Qty,Price
BURU,BUY,68965,0.28999999165534973
KITT,BUY,19235,2.940000057220459
SRRK,BUY,832,28.170000076293945
RR,BUY,2,5.630000114440918
BURU,SELL,68965,0.36000001430511475
KITT,BUY,5873,2.6700000762939453
SRRK,BUY,320,28.520000457763672
RR,BUY,4,5.059999942779541
BURU,BUY,1,0.3409999907016754
BURU,SELL,1,0.4000000059604645
RR,SELL,6,6.079999923706055
AYB.BE,BUY,1,21.59000015258789
KITT,BUY,7,2.009999990463257
BURU,BUY,3,0.37700000405311584
SRRK,SELL,1152,30.790000915527344
RIO,BUY,504,70.31999969482422
IBIO,BUY,23,1.2400000095367432
BURU,BUY,1,0.2800000011920929
RIO,SELL,504,71.11000061035156
RKLB,BUY,717,49.970001220703125
IBIO,BUY,8,1.25
BURU,BUY,4,0.25600001215934753
KITT,SELL,25115,1.559999942779541
LMND,BUY,257,73.58999633789062
RKLB,BUY,293,44.720001220703125
OKLO,BUY,74,96.58999633789062
IBIO,BUY,15,1.0399999618530273
AYB.BE,SELL,1,21.149999618530273
BURU,SELL,8,0.24500000476837158
CRBP,BUY,2,10.6899995803833
KITT,BUY,2,1.1699999570846558
LMND,SELL,257,76.80000305175781
RKLB,SELL,1010,49.369998931884766
OKLO,SELL,74,111.6500015258789
IBIO,SELL,46,1.2799999713897705
BURU,BUY,66886,0.2329999953508377
CRBP,BUY,6087,10.239999771118164
KITT,BUY,6,1.1200000047683716
BURU,BUY,1,0.22599999606609344
KITT,SELL,8,1.1399999856948853
BURU,BUY,42,0.2150000035762787
CRBP,SELL,6089,8.319999694824219
LMND,BUY,637,79.41000366210938
FJET,BUY,7,10.539999961853027
BURU,BUY,14,0.1770000010728836
LMND,SELL,637,85.36000061035156
OKLO,BUY,598,90.77999877929688
DRUG,BUY,1,86.04000091552734
BURU,BUY,10,0.18799999356269836
DRUG,SELL,1,90.38999938964844
FJET,BUY,8,10.149999618530273
BURU,SELL,66953,0.19099999964237213
KITT,BUY,2944,0.9070000052452087
SRRK,BUY,228,44.290000915527344
RGTI,BUY,1,23.450000762939453
IBIO,BUY,2,2.25
BURU,BUY,5,0.17900000512599945
KITT,SELL,2944,1.2699999809265137
SRRK,SELL,228,44.88999938964844
RKLB,BUY,158,80.4800033569336
OKLO,BUY,15,82.30999755859375
RGTI,BUY,1,21.760000228881836
BURU,BUY,9,0.17800000309944153
RKLB,SELL,158,87.0
OKLO,BUY,161,85.2699966430664
FJET,BUY,1,9.479999542236328
IBIO,BUY,3,2.2799999713897705
BURU,BUY,7,0.18400000035762787
OKLO,SELL,774,94.38999938964844
DRUG,BUY,190,80.23999786376953
RGTI,BUY,572,22.010000228881836
FJET,BUY,1194,8.75
IBIO,BUY,3518,2.2300000190734863
BURU,BUY,32600,0.17100000381469727
RKLB,BUY,249,85.68000030517578
RGTI,BUY,1,19.850000381469727
BURU,SELL,32621,0.20999999344348907
CRBP,BUY,828,8.270000457763672
IBIO,BUY,1,2.0999999046325684
BURU,BUY,10,0.18289999663829803
